parkingSpaceID,datetimeStart,datetimeEnd,count,source,includesAdditionals
0,2020-07-17T16:00:00+02:00,2020-07-17T16:30:00+02:00,628,survey,1
9,2020-07-17T16:00:00+02:00,2020-07-17T16:30:00+02:00,351,survey,0
4,2020-07-17T16:00:00+02:00,2020-07-17T16:30:00+02:00,190,survey,0
0,2020-07-24T18:00:00+02:00,2020-07-24T19:00:00+02:00,678,survey,1
4,2020-07-24T18:00:00+02:00,2020-07-24T19:00:00+02:00,188,survey,0
0,2020-07-26T16:00:00+02:00,2020-07-26T17:30:00+02:00,642,survey,1
9,2020-07-26T16:00:00+02:01,2020-07-26T17:30:00+02:01,391,survey,1
1,2020-07-26T16:00:00+02:02,2020-07-26T17:30:00+02:02,65,survey,0
2,2020-07-26T16:00:00+02:03,2020-07-26T17:30:00+02:03,283,survey,0
3,2020-07-26T16:00:00+02:04,2020-07-26T17:30:00+02:04,200,survey,0
4,2020-07-26T16:00:00+02:05,2020-07-26T17:30:00+02:05,236,survey,0
5,2020-07-26T16:00:00+02:06,2020-07-26T17:30:00+02:06,144,survey,0
6,2020-07-26T16:00:00+02:07,2020-07-26T17:30:00+02:07,124,survey,0
7,2020-07-26T16:00:00+02:08,2020-07-26T17:30:00+02:08,195,survey,0
0,2020-08-05T11:00:00+02:00,2020-08-05T12:00:00+02:00,591,survey,0
9,2020-08-05T11:00:00+02:00,2020-08-05T12:00:00+02:00,304,survey,0
0,2020-08-06T11:00:00+02:00,2020-08-06T12:00:00+02:00,585,survey,0
0,2020-08-07T08:00:00+02:00,2020-08-07T08:15:00+02:00,613,survey,0
9,2020-08-07T08:00:00+02:00,2020-08-07T08:15:00+02:00,310,survey,0
0,2020-08-07T17:40:00+02:00,2020-08-07T17:55:00+02:00,637,survey,0
9,2020-08-07T17:40:00+02:00,2020-08-07T17:55:00+02:00,350,survey,0
0,2020-08-11T19:00:00+02:00,2020-08-11T19:30:00+02:00,685,survey,0
9,2020-08-11T19:00:00+02:00,2020-08-11T19:30:00+02:00,306,survey,0
0,2020-08-14T18:00:00+02:00,2020-08-14T18:30:00+02:00,688,survey,0
9,2020-08-14T18:00:00+02:00,2020-08-14T18:30:00+02:00,353,survey,0
0,2020-08-15T17:30:00+02:00,2020-08-15T18:00:00+02:00,736,survey,0
9,2020-08-15T17:30:00+02:00,2020-08-15T18:00:00+02:00,375,survey,0
0,2020-08-17T18:00:00+02:00,2020-08-17T18:30:00+02:00,664,survey,0
9,2020-08-17T18:00:00+02:00,2020-08-17T18:30:00+02:00,318,survey,0
0,2020-08-19T18:00:00+02:00,2020-08-19T19:20:00+02:00,695,survey,0
9,2020-08-19T18:00:00+02:00,2020-08-19T19:20:00+02:00,301,survey,0
0,2020-08-21T17:00:00+02:00,2020-08-21T17:30:00+02:00,823,survey,0
0,2020-08-22T12:30:00+02:00,2020-08-22T13:00:00+02:00,699,survey,0
9,2020-08-22T12:30:00+02:00,2020-08-22T13:00:00+02:00,367,survey,0
0,2020-08-24T12:00:00+02:00,2020-08-24T13:00:00+02:00,557,survey,0
9,2020-08-24T12:00:00+02:00,2020-08-24T13:00:00+02:00,325,survey,0
